Branch,pdate,BILLDATE,Nominal,days_late,kolektibilitas
9,2017-08-11,2017-06-21,2323712.0,-51,1
3,2017-07-06,2017-05-23,3119369.0,-44,1
8,2017-02-14,2017-02-13,4053500.0,-1,1
7,2017-02-13,2016-12-29,2953750.0,-46,1
8,2018-06-25,2018-05-28,2906575.0,-28,1
3,2018-05-09,2018-03-01,4396500.0,-69,1
10,2017-05-23,2017-03-07,71796140.0,-77,1
4,2017-03-31,2017-03-24,4421000.0,-7,1
4,2017-03-31,2017-01-24,127000.0,-66,1
15,2018-05-08,2018-04-20,4875000.0,-18,1
10,2017-05-24,2017-03-13,901000.0,-72,1
17,2017-03-31,2017-03-09,2911000.0,-22,1
3,2017-05-12,2016-12-16,3385000.0,-147,3
7,2018-04-24,2018-02-07,3481709.0,-76,1
7,2018-04-24,2018-02-07,-3481709.0,-76,1
7,2018-04-24,2018-02-04,3153550.0,-79,1
15,2017-03-30,2016-11-10,22656000.0,-140,3
10,2018-03-14,2017-11-27,159219.0,-107,2
7,2017-02-13,2017-01-25,203770.0,-19,1
2,2017-02-16,2017-02-06,23431000.0,-10,1
2,2017-02-16,2017-01-13,664000.0,-34,1
2,2017-02-16,2017-01-19,-63300.0,-28,1
2,2017-02-16,2017-02-09,2228521.0,-7,1
2,2017-02-16,2017-02-09,2306293.0,-7,1
6,2018-01-29,2018-01-19,3853094.0,-10,1
10,2018-01-10,2017-12-21,59443.0,-20,1
9,2018-01-29,2017-09-19,3697350.0,-132,3
9,2018-01-29,2017-09-19,3697350.0,-132,3
5,2017-11-17,2017-11-11,-4572674.0,-6,1
3,2018-01-18,2017-11-09,144900.0,-70,1
3,2018-01-18,2017-11-09,143000.0,-70,1
3,2018-01-18,2018-01-11,3536500.0,-7,1
13,2017-10-05,2017-09-20,124800.0,-15,1
4,2017-10-06,2017-07-27,5179360.0,-71,1
5,2017-01-31,2017-01-26,8020842.0,-5,1
16,2017-11-30,2017-11-09,3550120.0,-21,1
16,2017-11-30,2017-11-18,1145950.0,-12,1
9,2017-08-11,2017-06-22,1468000.0,-50,1
9,2017-08-11,2017-06-22,2815040.0,-50,1
9,2017-08-11,2017-06-22,1816400.0,-50,1
16,2017-09-14,2017-08-18,5562000.0,-27,1
16,2017-09-14,2017-09-01,3585200.0,-13,1
11,2017-07-15,2017-06-21,5719600.0,-24,1
11,2017-07-15,2017-07-14,-5719600.0,-1,1
16,2017-11-30,2017-10-05,5818930.0,-56,1
10,2018-06-26,2017-08-22,858000.0,-308,4
10,2018-06-26,2018-06-25,-889000.0,-1,1
3,2017-06-05,2017-05-31,3421450.0,-5,1
6,2017-05-31,2017-04-29,369800.0,-32,1
3,2018-06-09,2018-05-25,69673262.0,-15,1
2,2018-05-31,2018-05-14,2213700.0,-17,1
2,2018-05-31,2018-05-31,1937125.0,0,0
18,2018-05-23,2018-01-30,8930000.0,-113,2
5,2018-05-15,2018-04-06,2461000.0,-39,1
5,2018-05-15,2018-05-14,3851718.0,-1,1
10,2018-04-30,2017-09-03,18619310.0,-239,4
2,2018-04-27,2018-05-28,3103257.0,31,0
10,2017-05-12,2016-09-19,2434500.0,-235,4
10,2017-05-12,2017-05-12,-2434500.0,0,0
10,2017-05-12,2016-09-19,3067000.0,-235,4
10,2017-05-12,2017-05-12,-3067000.0,0,0
10,2017-05-12,2016-09-19,3067000.0,-235,4
10,2017-05-12,2017-05-12,-3067000.0,0,0
10,2017-05-12,2016-09-19,3067000.0,-235,4
10,2017-05-12,2017-05-12,-3067000.0,0,0
2,2018-04-17,2018-04-07,630625.0,-10,1
2,2018-04-17,2018-04-07,-193725.0,-10,1
16,2017-05-22,2017-06-14,3662000.0,23,0
18,2017-04-11,2017-03-16,1011000.0,-26,1
2,2017-04-03,2017-04-02,3760700.0,-1,1
2,2017-04-03,2016-11-17,2812000.0,-137,3
2,2017-04-03,2017-01-16,5521938.0,-77,1
2,2017-04-03,2017-03-07,3508000.0,-27,1
13,2017-03-29,2017-02-08,4050500.0,-49,1
18,2017-03-31,2017-01-13,40561000.0,-77,1
18,2017-04-11,2017-03-16,108750.0,-26,1
18,2017-04-11,2017-03-16,647250.0,-26,1
6,2018-03-26,2018-03-15,4506250.0,-11,1
11,2018-03-15,2018-02-06,130900.0,-37,1
18,2018-01-29,2017-07-12,3469000.0,-201,4
16,2018-01-18,2018-02-10,14331000.0,23,0
6,2018-01-18,2018-01-12,3430000.0,-6,1
11,2017-02-06,2017-01-31,3606000.0,-6,1
11,2017-02-06,2017-01-31,3606000.0,-6,1
11,2017-02-06,2017-01-31,3606000.0,-6,1
11,2017-02-06,2017-01-31,3606000.0,-6,1
16,2017-02-02,2017-02-18,3090020.0,16,0
11,2017-01-31,2016-09-28,77454498.0,-125,3
11,2017-01-31,2016-08-31,475806.0,-153,3
7,2017-02-03,2016-12-23,-375000.0,-42,1
3,2017-12-28,2017-10-20,2788625.0,-69,1
5,2017-11-17,2017-11-11,-8331523.0,-6,1
5,2017-11-17,2017-11-11,-1276557.0,-6,1
5,2017-11-17,2017-11-11,-2963518.0,-6,1
5,2017-11-17,2017-11-11,-1536399.0,-6,1
5,2017-11-17,2017-11-11,-1178977.0,-6,1
5,2017-11-17,2017-11-11,-4572674.0,-6,1
10,2017-11-30,2017-09-14,541000.0,-77,1
5,2017-11-17,2017-11-11,-472853.0,-6,1
5,2017-11-17,2017-11-11,-1828032.0,-6,1
5,2017-11-17,2017-11-11,-5695266.0,-6,1
10,2017-11-02,2017-10-24,8400000.0,-9,1
13,2017-09-26,2017-09-15,1311400.0,-11,1
12,2017-09-11,2017-07-21,200000.0,-52,1
12,2017-09-11,2017-06-20,2019100.0,-83,1
12,2017-09-11,2017-07-21,237500.0,-52,1
12,2017-09-11,2017-06-20,1626875.0,-83,1
12,2017-09-11,2017-06-20,2042710.0,-83,1
17,2017-08-31,2017-08-14,4040800.0,-17,1
12,2017-09-11,2017-07-21,225000.0,-52,1
12,2017-09-11,2017-06-20,1849525.0,-83,1
16,2017-09-14,2017-08-25,19946500.0,-20,1
9,2017-08-11,2017-07-19,2715000.0,-23,1
9,2017-08-11,2017-07-19,2670600.0,-23,1
9,2017-08-11,2017-07-04,2357000.0,-38,1
9,2017-08-11,2017-07-19,1327400.0,-23,1
9,2017-08-11,2017-07-19,2456000.0,-23,1
10,2017-08-28,2017-08-25,6600360.0,-3,1
3,2017-07-31,2017-08-18,3071875.0,18,0
3,2017-07-31,2017-06-19,62525238.0,-42,1
11,2017-07-15,2017-03-09,6196000.0,-128,3
11,2017-07-15,2017-07-14,-6196000.0,-1,1
11,2017-07-15,2017-04-20,16359825.0,-86,1
11,2017-07-15,2017-07-14,-16359825.0,-1,1
11,2017-07-15,2017-06-14,2509600.0,-31,1
11,2017-07-15,2017-07-14,-2509600.0,-1,1
9,2017-08-11,2017-07-16,730600.0,-26,1
15,2017-06-20,2017-07-13,647000.0,23,0
